@RELATION subject

@ATTRIBUTE lemma	string
@ATTRIBUTE pos 	string
@ATTRIBUTE sentencelength 	numeric
@ATTRIBUTE startposition 	numeric
@ATTRIBUTE endposition 	numeric
@ATTRIBUTE postlemma 	string
@ATTRIBUTE postpos 	string
@ATTRIBUTE class 	{subject,object}

@DATA
'세가지방법','MM+NNB+NNG',87,39,54,'으로','JKB',object
'대량','NNG',87,62,67,'으로','JKB',object
'문태준','NNP',92,0,8,'의','JKG',object
'본관','NNG',92,13,18,'은','JX',subject
'남평,호','NNP+SP+NNG',92,23,33,'는','JX',subject
'덕암(德巖)','NNP+SS+SH+SS',92,38,51,'이','VCP',object
',경상북','SP+NNG',92,58,68,'도','JX',object
'영덕태생','NNP+NNG',92,73,85,'이','VCP',object
'덧붙이','VV',75,0,5,'어','EC',object
'오사카라','NNP',75,10,21,'는','JX',subject
'지명','NNG',75,26,31,'은','JX',subject
'1498년','SN+NNB',75,36,42,'부터','JX',object
'국','NNG',96,0,2,'도','JX',object
'제1호선','XPN+SN+NNB+NNG',96,7,16,'의','JKG',object
'일부구간','NNG+NNG',96,21,33,'은','JX',subject
'조선시대','NNG+NNG',96,38,49,'부터','JX',object
'주요도로','NNG+NNG',96,57,69,'로','JKB',object
'이토시즈카(,1980년12월5일~)','NNP+NNG+SS+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',74,0,40,'는','JX',subject
'일본','NNP',74,45,50,'의','JKG',object
'여성성우','NNG+NNG',74,55,67,'이','VCP',object
'iGoogle','SL',48,0,6,'은','JX',subject
'2013년11월1일','SN+NNB+SN+NNB+SN+NNB',48,11,28,'에','JKB',object
'지족(침신대)역(智足(浸神大)驛)','NNG+SS+NNP+NNG+SS+NNG+SS+SH+SS+SH+SS+SH+SS',154,0,41,'은','JX',subject
'대한민국대전광역시유성구지족동','NNP+NNP+NNG+NNG+NNP+NNG+NNP+NNG',154,46,93,'에','JKB',object
'대전도시철도1호선','NNP+NNG+NNG+SN+NNB+NNG',154,105,131,'의','JKG',object
'지하철역','NNG+NNG',154,136,147,'이','VCP',object
'바다','NNG',55,0,5,'는','JX',subject
'지구표면','NNG+NNG',55,10,22,'의','JKG',object
'70.8','SN+SP+SN',55,27,30,'%','SW',object
'마리오','NNP',70,0,8,'의','JKG',object
'코','NNG',70,13,15,'는','JX',subject
'주먹코','NNG+NNG',70,20,28,'이','VCP',object
'코밑','NNG+NNG',70,36,42,'에','JKB',object
'콧수염','NNG+NNG',70,47,55,'이','JKS',subject
'인도네시아공산당()','NNP+NNG+NNG+SS+SS',159,0,26,'은','JX',subject
'사리카트이슬람(이슬람연합)운동','NNG+NNG+SS+NNP+NNG+SS+NNG',159,31,75,'이','JKS',subject
'정치운동','NNG+NNG',159,80,91,'으로','JKB',object
'인도네시아','NNP',159,125,139,'의','JKG',object
'공산당','NNG+NNG',159,144,152,'이','VCP',object
'《동사강목(東史綱目)》','SS+NNG+NNG+SS+SH+SS+SS',146,0,31,'은','JX',subject
'조선영조(英祖)32년(1756년)','NNP+NNG+SS+SH+SS+SN+NNB+SS+SN+NNB+SS',146,36,71,'에','JKB',object
'안정복(安鼎福)','NNP+SS+SH+SS',146,76,95,'이','JKS',subject
'강목체','NNG+XSN',146,110,118,'·','SW',object
'편년체역사서','NNG+XSN+NNG',146,121,139,'이','VCP',object
'사이리스터','NNG',55,0,14,'는','JX',subject
'PNPN','SL',55,19,22,'의','JKG',object
'4중구조','SN+NNB+NNG',55,27,37,'를','JKO',object
'이어어리','MAG+VA',62,0,9,'ㄴ','ETM',object
'남동생','XPN+NNG',62,14,22,'도','JX',object
'그해','NNG',62,27,32,'에','JKB',object
'콜레라','NNG',62,37,45,'로','JKB',object
'혜성','NNG',112,0,5,'에','JKB',object
'예측','NNG',112,17,22,'은','JX',subject
'쉽','VA',112,40,39,'으나','EC',object
'이케야-세키혜성','NNP+SS+NNP+NNP',112,50,72,'은','JX',subject
'예측','NNG',112,77,82,'대로','JX',object
'결과','NNG',112,93,98,'가','JKS',subject
'이결과','MM+NNG',99,0,9,'는','JX',subject
'나중','NNG',99,14,19,'에','JKB',object
'사이언티픽어메리칸1984년10월판','NNG+NNP+SN+NNB+SN+NNG',99,24,68,'에','JKB',object
'다음','NNG',99,73,78,'과','JKB',object
'같이','MAG',99,83,89,'실리','VV',object
'조선장악원','NNP+NNG+XSN',76,17,32,'의','JKG',object
'기능','NNG',76,37,42,'이','VCP',object
'아악등','NNG+NNB',76,47,56,'도','JX',object
'기원전15년경고대로마인들','NNG+NNG+SN+NNB+NNG+NNG+NNG+XSN',92,0,38,'에','JKB',object
'여러정착지','MM+NNG',92,50,65,'가','JKS',subject
'하나','NR',92,70,75,'로','JKB',object
'전쟁기간동안두종류','NNG+NNG+NNG+MM+NNG',63,0,30,'의','JKG',object
'핵폭탄','NNG',63,35,43,'이','JKS',subject
'아어민페','NNP+NNG',129,0,12,'는','JX',subject
'그','NP',129,17,19,'는','JX',subject
'2007년5월19일','SN+NNB+SN+NNB+SN+NNB',129,24,41,'에','JKB',object
'VfB슈투트가르트소속','SL+NNG+NNG',129,46,74,'으로','JKB',object
'푸스발-분데스리가','NNP+SS+NNG',129,82,106,'를','JKO',object
'칼루가주(,)(29,900km','NNG+NNG+SS+SP+SS+SS+SN+SP+SN+SL',90,0,27,'²','SW',object
',인구:104만1,641명(2002년))','SP+NNG+SP+SN+NR+SN+SP+SN+NNB+SS+SN+NNB+SS+SS',90,30,63,'는','JX',subject
'러시아','NNP',90,68,76,'의','JKG',object
'주','NNG',90,81,83,'이','VCP',object
'베이징','NNP',71,0,8,'의','JKG',object
'정부','NNG',71,13,18,'는','JX',subject
'진압','NNG',71,23,28,'에','JKB',object
'30여명','SN+XSN+NNB',71,43,51,'을','JKO',object
'요츠바랑','NNP',60,0,11,'!','SF',object
'》()','SS+SS+SS',60,13,17,'은','JX',subject
'아즈마키요히코','NNP+NNP',60,22,43,'의','JKG',object
'만화','NNG',60,48,53,'이','VCP',object
'이시카','NNP',45,0,8,'와','JC',object
'현','NNG',45,13,15,'은','JX',subject
'동해안','NNP+XSN',45,20,28,'에','JKB',object
'이시카','NNP',72,0,8,'와','JC',object
'현','NNG',72,13,15,'은','JX',subject
'11개시','SN+NNB+NNG',72,20,28,'와','JC',object
'8개정(町)','SN+NNB+NNG+SS+SH+SS',72,33,45,'으로','JKB',object
'구스타프말러','NNG+NNG',97,0,18,'는','JX',subject
'보헤미아지방칼리슈트','NNP+NNG+NNG',97,23,54,'의','JKG',object
'유대인가족','NNG+NNG',97,59,74,'에게서','JKB',object
'사시나무속','NNG',91,0,14,'은','JX',subject
'잎','NNG',91,19,21,'과','JC',object
'꽃','NNG',91,26,28,'의','JKG',object
'모양','NNG',91,33,38,'을','JKO',object
'기준','NNG',91,43,48,'으로','JKB',object
'여섯절(section)','NR+NNG+SS+SL+SS',91,56,74,'으로','JKB',object
'당시','NNG',72,0,5,'의','JKG',object
'일본정부','NNP+NNG',72,10,21,'는','JX',subject
'대동아전쟁()','NNP+NNG+SS+SS',72,26,42,'이','VCP',object
'로스앤젤레스갤럭시','NNP+NNG',139,0,27,'의','JKG',object
'홈구장','NNG',139,32,40,'은','JX',subject
'스터브허브센터축구전용구장','NNG+NNG+NNG+NNG+NNG+NNG',139,45,85,'이','VCP',object
'캘리포니아주카슨','NNP+NNG+NNP',139,93,118,'에','JKB',object
'톈진시','NNG+NNG',112,0,9,'는','JX',subject
'전자,금속공업,석유화학공업,자동차,방직등','NNG+SP+NNG+NNG+SP+NNG+NNG+NNG+SP+NNG+NNG+SP+NNG+NNB',112,14,76,'의','JKG',object
'경중공업','NNG+NNG',112,81,92,'이','JKS',subject
'임진묵','NNP',125,0,8,'은','JX',subject
'2006년상반기드래프트','SN+NNB+NNG+NNG',125,13,42,'에서','JKB',object
'한빛스타즈(현웅진스타즈)','NNP+NNG+SS+MM+NNP+NNG+SS',125,50,87,'의','JKG',object
'2차지명','SN+NNB+NNG',125,92,102,'으로','JKB',object
'이곳','MM+NNG',93,0,6,'에서','JKB',object
'가장크','MAG+VA',93,14,20,'ㄴ','ETM',object
'나라','NNG',93,25,30,'는','JX',subject
'사우디아라비아','NNP',93,35,55,'로','JKB',object
',인구','SP+NNG',93,59,66,'도','JX',object
'약2,300만명','MM+SN+SP+SN+NR+NNB',93,71,86,'이','VCP',object
'K리그클래식()','SL+NNG+NNG+SS+SS',104,0,18,'은','JX',subject
'대한민국','NNP',104,23,34,'의','JKG',object
'축구리그시스템','NNG+NNG+NNG',104,39,61,'에서','JKB',object
'최상위프로축구리그','XPN+NNG+NNG+NNG+NNG',104,69,97,'이','VCP',object
'또한,존스','MAG+SP+NNP',105,0,13,'는','JX',subject
'신도들','NNG+XSN',105,18,26,'에게','JKB',object
'파시즘,인종간전쟁,핵전쟁','NNG+SP+NNG+NNB+NNG+SP+NNG+NNG',105,34,71,'이','JKS',subject
'것','NNB',105,80,82,'이','VCP',object
'공리주의적','NNG+NNG+XSN',110,0,14,'이','VCP',object
'자유주의','NNG+NNG',110,19,30,'를','JKO',object
'사상적','NNG+XSN',110,35,43,'으로','JKB',object
'사람','NNG',110,61,66,'은','JX',subject
'벤담(JeremyBentham,1748-1832)','NNG+SS+SL+SL+SP+SN+SS+SN+SS',110,71,103,'이','VCP',object
'미트리예프-리고르스키(러시아어','NNP+SS+NNP+SS+NNG+XSN',125,0,43,';','SW',object
'-','SS',125,62,62,'Л','SW',object
')','SS',125,81,81,'는','JX',subject
'쿠르스크주','NNP+NNG',125,86,101,'에','JKB',object
'도시','NNG',125,113,118,'이','VCP',object
'많','VA',82,0,2,'은','ETM',subject
'연주가(이작펄','NNG+SS+NNG+NNG',82,7,26,'만','JX',object
',정경화등)들','SP+NNP+NNB+SS+XSN',82,30,47,'이','JKS',subject
'그','NP',82,52,54,'가','JKS',subject
'악기','NNG',82,66,71,'를','JKO',object
'투아타라(tuatara)','NNP+SS+SL+SS',103,0,20,'는','JX',subject
'옛도마뱀목','NNG+NNG',103,25,39,'에','JKB',object
'파충류','NNG+XSN',103,54,62,'로','JKB',object
'뉴질랜드','NNP',103,67,78,'에','JKB',object
'2종','SN+NNG',103,83,86,'이','JKS',subject
'힙합(Hip-hop)','NNG+SS+SL+SS+SL+SS',101,0,14,'은','JX',subject
'대중음악','NNG+NNG',101,19,30,'의','JKG',object
'한장르','MM+NNG',101,35,44,'로서','JKB',object
'주로랩','MAG+NNG',101,52,61,'을','JKO',object
'리듬감','NNG+XSN',101,76,84,'이','JKS',subject
'특징','NNG',101,89,94,'이','VCP',object
'핀란드어','NNP+XSN',123,0,11,'는','JX',subject
'핀란드','NNP',123,16,24,'의','JKG',object
'공용어','NNG+XSN',123,29,37,'이','VCP',object
',스웨덴','SP+NNP',123,44,54,'과','JC',object
'러시아카렐리야주','NNP+NNG+NNG',123,59,84,'에서','JKB',object
'공식소수민족어','NNG+NNG+NNG',123,95,116,'이','VCP',object
'애국가(愛國歌)','NNG+SS+SH+SS',59,0,19,'는','JX',subject
'대한민국','NNP',59,24,35,'의','JKG',object
'공식국가','NNG+NNG',59,40,52,'이','VCP',object
'JFL','SL',59,0,2,'에','JKB',object
'팀','NNG',59,20,22,'은','JX',subject
'크','VA',59,27,29,'게','EC',object
'2개','SN+NNB',59,34,37,'로','JKB',object
'수','NNB',59,49,52,'있','VV',object
'새롭','VA',135,0,2,'ㄴ','ETM',object
'미술','NNG',135,10,15,'의','JKG',object
'중심','NNG',135,20,25,'은','JX',subject
'본토','NNG',135,30,35,'를','JKO',object
'알렉산드리아','NNP',135,47,64,'·','SW',object
'안티오키아','NNP',135,67,81,'·','SW',object
'소아시아','XPN+NNP',135,84,95,'의','JKG',object
'페르가몬등','NNG+NNB',135,100,115,'으로','JKB',object
'대한민국형법제122조','NNP+NNG+XPN+SN+NR',84,0,28,'는','JX',subject
'직무유기','NNG+NNG',84,33,44,'에','JKB',object
'형법각칙','NNG+NNG',84,56,67,'의','JKG',object
'조문','NNG',84,72,77,'이','VCP',object
'타치바나케이타(,1985년12월16일~)','NNP+NNP+SS+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',74,0,47,'는','JX',subject
'일본','NNP',74,52,57,'의','JKG',object
'가수','NNG',74,62,67,'이','VCP',object
'《TakingBackSundayEP》','SS+SL+SL+SL+SL+SS',62,0,26,'는','JX',subject
'2001년2월','SN+NNB+SN+NNB',62,31,42,'에','JKB',object
'수정교회','NNG+NNG',103,0,11,'는','JX',subject
'설립자로버트슐러','NNG+XSN+NNP+NNP',103,16,41,'의','JKG',object
'장녀','NNG',103,46,51,'이','VCP',object
'렇','VA',103,59,58,'어','EC',object
'콜맨','NNG',103,70,75,'이','JKS',subject
'담임목사','NNG+NNG',103,80,92,'로','JKB',object
'에사-페카살로넨(,1958년6월30일~)','NNG+SS+NNP+NNP+SS+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',85,0,45,'은','JX',subject
'핀란드출신','NNP+NNG',85,50,65,'의','JKG',object
'지휘자','NNG+XSN',85,70,78,'이','VCP',object
'DefinitelyMaybe','SL+SL',87,0,15,'는','JX',subject
'영국밴드오아시스','NNP+NNG+NNG',87,38,63,'의','JKG',object
'데뷔음반','NNG+NNG',87,68,80,'이','VCP',object
'털곰팡이목(Mucorales)','NNG+NNG+SS+SL+SS',97,0,25,'은','JX',subject
'가장크','MAG+VA',97,30,39,'고','EC',object
'접합균류목','NNG+NNG+NNG',97,65,80,'의','JKG',object
'하나','NR',97,85,90,'이','VCP',object
'곽경택(1966년5월23일~)','NNG+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',71,0,31,'은','JX',subject
'대한민국','NNP',71,36,47,'의','JKG',object
'영화감독','NNG+NNG',71,52,64,'이','VCP',object
'1866년미국상원의원선거','SN+NNB+NNP+NNG+NNG+NNG',96,0,33,'는','JX',subject
'1866년각주','SN+NNB+MM+NNG',96,38,52,'에서','JKB',object
'2명씩상원의원','SN+NNB+XSN+NNG+NNG',96,60,79,'을','JKO',object
'방예담(2002년5월7일~)','NNG+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',63,0,30,'은','JX',subject
'대한민국','NNP',63,35,46,'의','JKG',object
'가수','NNG',63,51,56,'이','VCP',object
'이효리','NNP',93,0,8,'는','JX',subject
'2013년5월22일Mnet','SN+NNB+SN+NNB+SN+NNB+SL',93,13,35,'에서','JKB',object
'《2HYORISHOW》','SS+SN+SL+SL+SS',93,53,69,'를','JKO',object
'한편드림위즈','MAG+NNP',62,0,18,'와','JC',object
'엠파스','NNP',62,23,31,'도','JX',object
'1999년','SN+NNB',62,36,42,'에','JKB',object
'포인터시스터스(ThePointerSisters)','NNG+NNG+SS+SL+SL+SL+SS',73,0,42,'는','JX',subject
'미국','NNP',73,47,52,'의','JKG',object
'R','SL',73,57,57,'&','SW',object
'B밴드','SL+NNG',73,59,66,'이','VCP',object
'스와미','NNP',97,0,9,'묵타나','VV',object
'(SwamiMuktananda,1908-1982)','SS+SL+SL+SP+SN+SS+SN+SS',97,23,51,'는','JX',subject
'바가완니티야난다','NNP+NNP',97,56,80,'의','JKG',object
'계율','NNG',97,85,90,'이','VCP',object
'활','NNG',113,0,2,'과','JC',object
'화살','NNG',113,7,12,'은','JX',subject
'예','NNG',113,17,19,'로부터','JKB',object
'군사적','NNG+XSN',113,30,38,'이','VCP',object
'목적','NNG',113,43,48,'뿐','JX',object
'아니','VCN',113,53,58,'라','EC',object
'경기ㆍ놀이ㆍ제사','NNG+SP+NNG+SP+NNG',113,63,86,'의','JKG',object
'용도','NNG',113,91,96,'로','JKB',object
'베네벤토()','NNP+SS+SS',80,0,13,'는','JX',subject
'이탈리아캄파니아주베네벤토현','NNP+NNG+NNG+NNP+NNG',80,18,63,'의','JKG',object
'코무네','NNG',80,68,76,'다','EF',object
'두타산(頭陀山)','NNP+NNG+SS+SH+SS',114,0,19,'은','JX',subject
'강원도동해시삼화동','NNP+NNP+NNG+NNP+NNG',114,24,52,'과','JC',object
'삼척시하장면,미로면','NNP+NNG+NNG+SP+NNG',114,57,86,'에','JKB',object
'산','NNG',114,105,107,'이','VCP',object
'장수연(1982년7월8일~)','NNP+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',73,0,30,'은','JX',subject
'대한민국','NNP',73,35,46,'의','JKG',object
'KBS아나운서','SL+NNG',73,51,66,'이','VCP',object
'천(天)','NNG+SS+SH+SS',135,0,7,'은','JX',subject
'산스크리트어데바(deva)','NNG+XSN+NNP+SS+SL+SS',135,12,42,'의','JKG',object
'번역어','NNG+XSN',135,47,55,'이','VCP',object
'또한데바로카(deva-loka)','MAG+NNP+SS+SL+SS+SL+SS',135,76,105,'의','JKG',object
'번역어','NNG+XSN',135,110,118,'이','VCP',object
'UTAU','SL',105,0,3,'.','SF',object
'UTAU(우타우,)','SL+SS+NNP+SP+SS',105,5,21,'는','JX',subject
'일본','NNP',105,26,31,'의','JKG',object
'음성합성프로그램','NNG+NNG+NNG',105,36,61,'으로','JKB',object
'아메야','NNG',105,69,77,'\\','SW',object
'/아야메','SP+NNP',105,79,88,'가','JKS',subject
'낙생고등학교(樂生高等學校)','NNG+NNG+SS+SH+SS',127,0,37,'는','JX',subject
'경기도성남시분당구대왕판교','NNP+NNP+NNG+NNP+NNG+NNG+NNG',127,42,83,'로','JKB',object
'477','SN',127,88,90,'에','JKB',object
'사립고등학교','NNG+NNG+NNG',127,102,120,'이','VCP',object
'리사(LiSA,リサ,1987년6월24일~)','NNG+SS+SL+SP+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',76,0,42,'는','JX',subject
'일본','NNP',76,47,52,'의','JKG',object
'여성가수','NNG+NNG',76,57,69,'이','VCP',object
'신케인즈학파(neo-Keynesianeconomics)','NNP+SS+SL+SS+SL+SL+SS',137,0,42,'는','JX',subject
'케인즈경제학','NNG+NNG+XSN',137,47,65,'의','JKG',object
'정태분석','NNG+NNG',137,70,81,'을','JKO',object
'동태분석','NNG+NNG',137,86,97,'으로','JKB',object
'경제이론','NNG+NNG',137,118,130,'이','VCP',object
'니콜라뒤퐁애냥()','NNP+NNP+SS+SS',56,0,23,'은','JX',subject
'프랑스','NNP',56,28,36,'의','JKG',object
'정치인','NNG',56,41,49,'이','VCP',object
'김영민(1971년11월5일~)','NNP+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',64,0,31,'은','JX',subject
'대한민국','NNP',64,36,47,'의','JKG',object
'배우','NNG',64,52,57,'이','VCP',object
'리처드버턴','NNP+NNP',87,0,15,'은','JX',subject
'영국영화계','NNP+NNG+XSN',87,20,35,'를','JKO',object
'배우중한명','NNG+NNB+MM+NNB',87,53,70,'으로','JKB',object
'캐스린프레스콧(KathrynPrescott,1991년6월4일~)','NNG+NNG+NNG+SS+SL+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',94,0,61,'은','JX',subject
'잉글랜드','NNG',94,66,77,'의','JKG',object
'배우','NNG',94,82,87,'이','VCP',object
'윌리엄피크너(WilliamFichtner,1956년11월27일~)','NNP+NNG+SS+SL+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',87,0,60,'는','JX',subject
'미국','NNP',87,65,70,'의','JKG',object
'배우','NNG',87,75,80,'이','VCP',object
'크리스토퍼마스터슨(ChristopherMasterson,1980년2월22일~)','NNP+NNG+SS+SL+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',100,0,73,'은','JX',subject
'미국','NNP',100,78,83,'의','JKG',object
'배우','NNG',100,88,93,'이','VCP',object
'쾨니히','NNP',51,0,8,'의','JKG',object
'군대','NNG',51,13,18,'는','JX',subject
'포르장티','NNG',51,23,34,'에','JKB',object
'마다가스카르비단제비나방(학명:','NNP+SS+NNG+SP',136,0,44,'\\','SW',object
'"Chrysiridiarhipheus','SS+SL+SL',136,46,66,'\\','SW',object
'")','SS+SS',136,68,69,'는','JX',subject
'제비나방과','NNG+NNG',136,74,88,'에','JKB',object
'주행성나방','NNG+XSN+NNG',136,103,118,'의','JKG',object
'한종','MM+NNG',136,123,129,'이','VCP',object
'피스토이아현()','NNG+NNG+SS+SS',67,0,20,'은','JX',subject
'이탈리아토스카','NNP+NNG',67,25,46,'나','JC',object
'주의현','NNG+NNG',67,51,60,'이','VCP',object
'황수령(黃水嶺)옛이름','NNG+SS+SH+SS+MM+NNG',87,0,30,'은','JX',subject
'아득령(牙得嶺)','NNG+SS+SH+SS',87,35,54,'은','JX',subject
'랑림산맥','NNP+NNG',87,59,70,'의','JKG',object
'고개','NNG',87,75,80,'이','VCP',object
'스쿠트()','NNP+SS+SS',117,0,10,'는','JX',subject
'2011년','SN+NNB',117,15,21,'에','JKB',object
'싱가포르','NNP',117,36,47,'의','JKG',object
'저비용항공사','NNG+NNG+NNG+XSN',117,52,70,'로','JKB',object
'싱가포르항공','NNP+NNG',117,75,93,'이','JKS',subject
'다비트파브리치우스(,1564~1617)','NNP+NNP+SS+SP+SN+SO+SN+SS',75,0,42,'는','JX',subject
'독일','NNP',75,47,52,'의','JKG',object
'천문학자','NNG+XSN',75,57,68,'이','VCP',object
'《YoonSangBest》','SS+SL+SL+SL+SS',56,0,19,'는','JX',subject
'윤상','NNP',56,24,29,'의','JKG',object
'베스트음반','NNG+NNG',56,34,49,'이','VCP',object
'노먼교수','NNP+NNG',130,0,11,'의','JKG',object
'초기저서들','NNG+NNG+XSN',130,16,31,'은','JX',subject
'대부분사용성(Usability)','XPN+NNG+NNG+XSN+SS+SL+SS',130,36,65,'나','JC',object
'인지심리학(CognitivePsychology)','NNG+NNG+XSN+SS+SL+SL+SS',130,70,106,'에','JKB',object
'것','NNB',130,118,120,'이','VCP',object
'콜롬비아혁명군','NNP+NNG+NNG',115,0,21,'은','JX',subject
'콜롬비아공산당','NNP+NNG+NNG',115,26,47,'에서','JKB',object
'단체','NNG',115,65,70,'로','JKB',object
'정치기구','NNG+NNG',115,86,98,'로','JKB',object
'남선호(1965년11월22일~현재)','NNG+SS+SN+NNB+SN+NNB+SN+NNB+SO+NNG+SS',78,0,38,'는','JX',subject
'대한민국','NNP',78,43,54,'의','JKG',object
'영화감독','NNG+NNG',78,59,71,'이','VCP',object
'고석진','NNP',65,0,8,'은','JX',subject
'1990년','SN+NNB',65,13,19,'에','JKB',object
'건국훈장애국장','NNG+NNG+NNG+XSN',65,24,45,'이','JKS',subject
'SS-22','SL+SS+SN',85,0,4,'.','SF',object
'SS-22','SL+SS+SN',85,6,10,'는','JX',subject
'소련','NNP',85,15,20,'의','JKG',object
'사거리900km','NNG+NNG+SN+SL',85,25,40,'이','VCP',object
'고체연료전역탄도미사일','NNG+NNG+NNG+NNG+NNG',85,45,78,'이','VCP',object
'블리스(Bliss)','NNP+SS+SL+SS',78,0,15,'는','JX',subject
'덴마크','NNP',78,20,28,'를','JKO',object
'중심','NNG',78,33,38,'으로','JKB',object
'음악그룹','NNG+NNG',78,59,71,'이','VCP',object
'비블리스속(','NNG+NNG+SS',83,0,15,'\\','SW',object
'"Byblis','SS+SL',83,17,23,'\\','SW',object
'")','SS+SS',83,25,26,'은','JX',subject
