@RELATION subject

@ATTRIBUTE lemma	string
@ATTRIBUTE pos 	string
@ATTRIBUTE sentencelength 	numeric
@ATTRIBUTE startposition 	numeric
@ATTRIBUTE endposition 	numeric
@ATTRIBUTE postlemma 	string
@ATTRIBUTE postpos 	string
@ATTRIBUTE class 	{subject,object}

@DATA
'호','NNG',92,31,33,'는','JX',object
'덕암(德巖)','NNP+SS+SH+SS',92,38,51,'이','VCP',object
'경상북','NNG',92,60,68,'도','JX',object
'영덕태생','NNP+NNG',92,73,85,'이','VCP',object
'덧붙이','VV',75,0,5,'어','EC',object
'오사카라','NNP',75,10,21,'는','JX',subject
'지명','NNG',75,26,31,'은','JX',subject
'1498년','SN+NNB',75,36,42,'부터','JX',object
'국','NNG',96,0,2,'도','JX',object
'제1호선의일부구간','XPN+SN+NNB+NNG+JKG+NNG+NNG',96,7,33,'은','JX',subject
'조선시대','NNG+NNG',96,38,49,'부터','JX',object
'주요도로','NNG+NNG',96,57,69,'로','JKB',object
'이토시즈카(,1980년12월5일~)','NNP+NNG+SS+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',74,0,40,'는','JX',subject
'일본의여성성우','NNP+JKG+NNG+NNG',74,45,67,'이','VCP',subject
'iGoogle','SL',48,0,6,'은','JX',subject
'2013년11월1일','SN+NNB+SN+NNB+SN+NNB',48,11,28,'에','JKB',object
'지족(침신대)역(智足(浸神大)驛)','NNG+SS+NNP+NNG+SS+NNG+SS+SH+SS+SH+SS+SH+SS',154,0,41,'은','JX',subject
'대한민국대전광역시유성구지족동','NNP+NNP+NNG+NNG+NNP+NNG+NNP+NNG',154,46,93,'에','JKB',object
'대전도시철도1호선의지하철역','NNP+NNG+NNG+SN+NNB+NNG+JKG+NNG+NNG',154,105,147,'이','VCP',object
'바다','NNG',55,0,5,'는','JX',subject
'지구표면의70.8%','NNG+NNG+JKG+SN+SP+SN+SW',55,10,31,'를','JKO',object
'마리오의코','NNP+JKG+NNG',70,0,15,'는','JX',subject
'주먹코','NNG+NNG',70,20,28,'이','VCP',subject
'코밑','NNG+NNG',70,36,42,'에','JKB',object
'콧수염','NNG+NNG',70,47,55,'이','JKS',object
'인도네시아공산당()','NNP+NNG+NNG+SS+SS',159,0,26,'은','JX',subject
'사리카트이슬람(이슬람연합)운동','NNG+NNG+SS+NNP+NNG+SS+NNG',159,31,75,'이','JKS',subject
'정치운동','NNG+NNG',159,80,91,'으로','JKB',object
'발전','NNG',159,99,104,',','SP',object
'인도네시아의공산당','NNP+JKG+NNG+NNG',159,125,152,'이','VCP',object
'《동사강목(東史綱目)》','SS+NNG+NNG+SS+SH+SS+SS',146,0,31,'은','JX',subject
'조선영조(英祖)32년(1756년)','NNP+NNG+SS+SH+SS+SN+NNB+SS+SN+NNB+SS',146,36,71,'에','JKB',object
'안정복(安鼎福)','NNP+SS+SH+SS',146,76,95,'이','JKS',object
'강목체','NNG+XSN',146,110,118,'·','SW',object
'편년체역사서','NNG+XSN+NNG',146,121,139,'이','VCP',object
'사이리스터','NNG',55,0,14,'는','JX',subject
'PNPN','SL',55,19,22,'의','JKG',object
'4중구조','SN+NNB+NNG',55,27,37,'를','JKO',object
'이어어리ㄴ남동생','MAG+VA+ETM+XPN+NNG',62,0,22,'도','JX',object
'그해','NNG',62,27,32,'에','JKB',object
'콜레라','NNG',62,37,45,'로','JKB',object
'혜성','NNG',112,0,5,'에','JKB',object
'예측','NNG',112,17,22,'은','JX',subject
'이케야-세키혜성','NNP+SS+NNP+NNP',112,50,72,'은','JX',subject
'예측','NNG',112,77,82,'대로','JX',object
'결과','NNG',112,93,98,'가','JKS',object
'이결과','MM+NNG',99,0,9,'는','JX',subject
'나중','NNG',99,14,19,'에','JKB',object
'사이언티픽어메리칸1984년10월판','NNG+NNP+SN+NNB+SN+NNG',99,24,68,'에','JKB',object
'다음과같이','NNG+JKB+MAG',99,73,89,'실리','VV',object
'조선장악원','NNP+NNG+XSN',76,17,32,'의','JKG',object
'기능이ㄴ아악등','NNG+VCP+ETM+NNG+NNB',76,37,56,'도','JX',object
'기원전15년경고대로마인들','NNG+NNG+SN+NNB+NNG+NNG+NNG+XSN',92,0,38,'에','JKB',object
'여러정착지','MM+NNG',92,50,65,'가','JKS',subject
'하나','NR',92,70,75,'로','JKB',object
'전쟁기간동안두종류의핵폭탄','NNG+NNG+NNG+MM+NNG+JKG+NNG',63,0,43,'이','JKS',subject
'아어민페','NNP+NNG',129,0,12,'는','JX',subject
'그','NP',129,17,19,'는','JX',subject
'2007년5월19일','SN+NNB+SN+NNB+SN+NNB',129,24,41,'에','JKB',object
'VfB슈투트가르트소속','SL+NNG+NNG',129,46,74,'으로','JKB',object
'푸스발-분데스리가','NNP+SS+NNG',129,82,106,'를','JKO',object
'칼루가주(','NNG+NNG+SS',90,0,13,',','SP',object
')(29','SS+SS+SN',90,16,20,',','SP',object
'900km','SN+SL',90,22,27,'²','SW',object
'인구','NNG',90,32,37,':','SP',object
'104만1','SN+NR+SN',90,40,46,',','SP',object
'641명(2002년))','SN+NNB+SS+SN+NNB+SS+SS',90,48,63,'는','JX',subject
'러시아의주','NNP+JKG+NNG',90,68,83,'이','VCP',subject
'베이징의정부','NNP+JKG+NNG',71,0,18,'는','JX',subject
'진압','NNG',71,23,28,'에','JKB',object
'30여명','SN+XSN+NNB',71,43,51,'을','JKO',object
'요츠바랑!》()','NNP+SF+SS+SS+SS',60,0,17,'은','JX',subject
'아즈마키요히코의만화','NNP+NNP+JKG+NNG',60,22,53,'이','VCP',subject
'이시카와현','NNP+JC+NNG',45,0,15,'은','JX',subject
'동해안','NNP+XSN',45,20,28,'에','JKB',object
'이시카와현','NNP+JC+NNG',72,0,15,'은','JX',subject
'11개시와8개정(町)','SN+NNB+NNG+JC+SN+NNB+NNG+SS+SH+SS',72,20,45,'으로','JKB',object
'구스타프말러','NNG+NNG',97,0,18,'는','JX',subject
'보헤미아지방칼리슈트의유대인가족','NNP+NNG+NNG+JKG+NNG+NNG',97,23,74,'에게서','JKB',object
'사시나무속','NNG',91,0,14,'은','JX',subject
'잎과꽃의모양','NNG+JC+NNG+JKG+NNG',91,19,38,'을','JKO',object
'기준','NNG',91,43,48,'으로','JKB',object
'여섯절(section)','NR+NNG+SS+SL+SS',91,56,74,'으로','JKB',object
'당시의일본정부','NNG+JKG+NNP+NNG',72,0,21,'는','JX',subject
'대동아전쟁()','NNP+NNG+SS+SS',72,26,42,'이','VCP',subject
'로스앤젤레스갤럭시의홈구장','NNP+NNG+JKG+NNG',139,0,40,'은','JX',subject
'스터브허브센터축구전용구장','NNG+NNG+NNG+NNG+NNG+NNG',139,45,85,'이','VCP',subject
'캘리포니아주카슨','NNP+NNG+NNP',139,93,118,'에','JKB',object
'톈진시','NNG+NNG',112,0,9,'는','JX',subject
'전자','NNG',112,14,19,',','SP',object
'금속공업','NNG+NNG',112,22,33,',','SP',object
'석유화학공업','NNG+NNG+NNG',112,36,53,',','SP',object
'자동차','NNG+NNG',112,56,64,',','SP',object
'방직등의경중공업','NNG+NNB+JKG+NNG+NNG',112,67,92,'이','JKS',object
'임진묵','NNP',125,0,8,'은','JX',subject
'2006년상반기드래프트','SN+NNB+NNG+NNG',125,13,42,'에서','JKB',object
'한빛스타즈(현웅진스타즈)','NNP+NNG+SS+MM+NNP+NNG+SS',125,50,87,'의','JKG',object
'2차지명','SN+NNB+NNG',125,92,102,'으로','JKB',object
'이곳','MM+NNG',93,0,6,'에서','JKB',object
'가장크ㄴ나라','MAG+VA+ETM+NNG',93,14,30,'는','JX',subject
'사우디아라비아','NNP',93,35,55,'로','JKB',object
'인구','NNG',93,61,66,'도','JX',object
'약2','MM+SN',93,71,75,',','SP',object
'300만명','SN+NR+NNB',93,77,86,'이','VCP',object
'K리그클래식()','SL+NNG+NNG+SS+SS',104,0,18,'은','JX',subject
'대한민국의축구리그시스템','NNP+JKG+NNG+NNG+NNG',104,23,61,'에서','JKB',object
'최상위프로축구리그','XPN+NNG+NNG+NNG+NNG',104,69,97,'이','VCP',object
'또한','MAG',105,0,5,',','SP',object
'존스','NNP',105,8,13,'는','JX',subject
'신도들','NNG+XSN',105,18,26,'에게','JKB',object
'파시즘','NNG',105,34,42,',','SP',object
'인종간전쟁','NNG+NNB+NNG',105,45,60,',','SP',object
'핵전쟁','NNG+NNG',105,63,71,'이','JKS',object
'것','NNB',105,80,82,'이','VCP',object
'공리주의적이ㄴ자유주의','NNG+NNG+XSN+VCP+ETM+NNG+NNG',110,0,30,'를','JKO',object
'사상적','NNG+XSN',110,35,43,'으로','JKB',object
'사람','NNG',110,61,66,'은','JX',subject
'벤담(JeremyBentham,1748-1832)','NNG+SS+SL+SL+SP+SN+SS+SN+SS',110,71,103,'이','VCP',subject
'미트리예프-리고르스키(러시아어;Дмитриев-Льговский)','NNP+SS+NNP+SS+NNG+XSN+SW+SW+SW+SW+SW+SW+SW+SW+SW+SS+SW+SW+SW+SW+SW+SW+SW+SW+SW+SS',125,0,81,'는','JX',subject
'쿠르스크주','NNP+NNG',125,86,101,'에','JKB',object
'도시','NNG',125,113,118,'이','VCP',object
'많은연주가(이작펄만,정경화등)들','VA+ETM+NNG+SS+NNG+NNG+JX+SP+NNP+NNB+SS+XSN',82,0,47,'이','JKS',subject
'그','NP',82,52,54,'가','JKS',subject
'악기','NNG',82,66,71,'를','JKO',object
'투아타라(tuatara)','NNP+SS+SL+SS',103,0,20,'는','JX',subject
'옛도마뱀목','NNG+NNG',103,25,39,'에','JKB',object
'파충류','NNG+XSN',103,54,62,'로','JKB',object
'뉴질랜드','NNP',103,67,78,'에','JKB',object
'2종','SN+NNG',103,83,86,'이','JKS',object
'힙합(Hip-hop)','NNG+SS+SL+SS+SL+SS',101,0,14,'은','JX',subject
'대중음악의한장르','NNG+NNG+JKG+MM+NNG',101,19,44,'로서','JKB',object
'주로랩','MAG+NNG',101,52,61,'을','JKO',object
'리듬감','NNG+XSN',101,76,84,'이','JKS',object
'특징','NNG',101,89,94,'이','VCP',object
'핀란드어','NNP+XSN',123,0,11,'는','JX',subject
'핀란드의공용어','NNP+JKG+NNG+XSN',123,16,37,'이','VCP',subject
'스웨덴과러시아카렐리야주','NNP+JC+NNP+NNG+NNG',123,46,84,'에서','JKB',object
'공식소수민족어','NNG+NNG+NNG',123,95,116,'이','VCP',object
'애국가(愛國歌)','NNG+SS+SH+SS',59,0,19,'는','JX',subject
'대한민국의공식국가','NNP+JKG+NNG+NNG',59,24,52,'이','VCP',subject
'JFL','SL',59,0,2,'에','JKB',object
'팀','NNG',59,20,22,'은','JX',subject
'2개','SN+NNB',59,34,37,'로','JKB',object
'수','NNB',59,49,52,'있','VV',object
'새롭ㄴ미술의중심','VA+ETM+NNG+JKG+NNG',135,0,25,'은','JX',subject
'본토','NNG',135,30,35,'를','JKO',object
'알렉산드리아','NNP',135,47,64,'·','SW',object
'안티오키아','NNP',135,67,81,'·','SW',object
'소아시아의페르가몬등','XPN+NNP+JKG+NNG+NNB',135,84,115,'으로','JKB',object
'대한민국형법제122조','NNP+NNG+XPN+SN+NR',84,0,28,'는','JX',subject
'직무유기','NNG+NNG',84,33,44,'에','JKB',object
'형법각칙의조문','NNG+NNG+JKG+NNG',84,56,77,'이','VCP',object
'타치바나케이타(,1985년12월16일~)','NNP+NNP+SS+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',74,0,47,'는','JX',subject
'일본의가수','NNP+JKG+NNG',74,52,67,'이','VCP',subject
'《TakingBackSundayEP》','SS+SL+SL+SL+SL+SS',62,0,26,'는','JX',subject
'2001년2월','SN+NNB+SN+NNB',62,31,42,'에','JKB',object
'수정교회','NNG+NNG',103,0,11,'는','JX',subject
'설립자로버트슐러의장녀이ㄴ','NNG+XSN+NNP+NNP+JKG+NNG+VCP+ETM',103,16,58,'렇','VA',object
'콜맨','NNG',103,70,75,'이','JKS',object
'담임목사','NNG+NNG',103,80,92,'로','JKB',object
'에사-페카살로넨(,1958년6월30일~)','NNG+SS+NNP+NNP+SS+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',85,0,45,'은','JX',subject
'핀란드출신의지휘자','NNP+NNG+JKG+NNG+XSN',85,50,78,'이','VCP',subject
'DefinitelyMaybe','SL+SL',87,0,15,'는','JX',subject
'영국밴드오아시스의데뷔음반','NNP+NNG+NNG+JKG+NNG+NNG',87,38,80,'이','VCP',subject
'털곰팡이목(Mucorales)','NNG+NNG+SS+SL+SS',97,0,25,'은','JX',subject
'가장','MAG',97,30,36,'크','VA',object
'접합균류목의하나','NNG+NNG+NNG+JKG+NR',97,65,90,'이','VCP',object
'곽경택(1966년5월23일~)','NNG+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',71,0,31,'은','JX',subject
'대한민국의영화감독','NNP+JKG+NNG+NNG',71,36,64,'이','VCP',subject
'1866년미국상원의원선거','SN+NNB+NNP+NNG+NNG+NNG',96,0,33,'는','JX',subject
'1866년각주','SN+NNB+MM+NNG',96,38,52,'에서','JKB',object
'2명씩상원의원','SN+NNB+XSN+NNG+NNG',96,60,79,'을','JKO',object
'방예담(2002년5월7일~)','NNG+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',63,0,30,'은','JX',subject
'대한민국의가수','NNP+JKG+NNG',63,35,56,'이','VCP',subject
'이효리','NNP',93,0,8,'는','JX',subject
'2013년5월22일Mnet','SN+NNB+SN+NNB+SN+NNB+SL',93,13,35,'에서','JKB',object
'《2HYORISHOW》','SS+SN+SL+SL+SS',93,53,69,'를','JKO',object
'한편드림위즈와엠파스','MAG+NNP+JC+NNP',62,0,31,'도','JX',object
'1999년','SN+NNB',62,36,42,'에','JKB',object
'포인터시스터스(ThePointerSisters)','NNG+NNG+SS+SL+SL+SL+SS',73,0,42,'는','JX',subject
'미국의R','NNP+JKG+SL',73,47,57,'&','SW',object
'B밴드','SL+NNG',73,59,66,'이','VCP',object
'스와미','NNP',97,0,9,'묵타나','VV',object
'(SwamiMuktananda,1908-1982)','SS+SL+SL+SP+SN+SS+SN+SS',97,23,51,'는','JX',subject
'바가완니티야난다의계율','NNP+NNP+JKG+NNG',97,56,90,'이','VCP',subject
'활과화살','NNG+JC+NNG',113,0,12,'은','JX',subject
'예','NNG',113,17,19,'로부터','JKB',object
'군사적이ㄴ목적','NNG+XSN+VCP+ETM+NNG',113,30,48,'뿐','JX',object
'경기','NNG',113,63,68,'ㆍ','SP',object
'놀이','NNG',113,72,77,'ㆍ','SP',object
'제사의용도','NNG+JKG+NNG',113,81,96,'로','JKB',object
'베네벤토()','NNP+SS+SS',80,0,13,'는','JX',subject
'이탈리아캄파니아주베네벤토현의코무네','NNP+NNG+NNG+NNP+NNG+JKG+NNG',80,18,76,'다','EF',object
'두타산(頭陀山)','NNP+NNG+SS+SH+SS',114,0,19,'은','JX',subject
'강원도동해시삼화동과삼척시하장면','NNP+NNP+NNG+NNP+NNG+JC+NNP+NNG+NNG',114,24,75,',','SP',object
'미로면','NNG',114,78,86,'에','JKB',object
'산','NNG',114,105,107,'이','VCP',object
'장수연(1982년7월8일~)','NNP+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',73,0,30,'은','JX',subject
'대한민국의KBS아나운서','NNP+JKG+SL+NNG',73,35,66,'이','VCP',subject
'천(天)','NNG+SS+SH+SS',135,0,7,'은','JX',subject
'산스크리트어데바(deva)','NNG+XSN+NNP+SS+SL+SS',135,12,42,'의','JKG',object
'번역어','NNG+XSN',135,47,55,'이','VCP',object
'또한데바로카(deva-loka)','MAG+NNP+SS+SL+SS+SL+SS',135,76,105,'의','JKG',object
'번역어','NNG+XSN',135,110,118,'이','VCP',object
'UTAU','SL',105,0,3,'.','SF',object
'UTAU(우타우,)','SL+SS+NNP+SP+SS',105,5,21,'는','JX',subject
'일본의음성합성프로그램','NNP+JKG+NNG+NNG+NNG',105,26,61,'으로','JKB',object
'아메야','NNG',105,69,77,'\\','SW',object
'아야메','NNP',105,80,88,'가','JKS',object
'낙생고등학교(樂生高等學校)','NNG+NNG+SS+SH+SS',127,0,37,'는','JX',subject
'경기도성남시분당구대왕판교','NNP+NNP+NNG+NNP+NNG+NNG+NNG',127,42,83,'로','JKB',object
'477','SN',127,88,90,'에','JKB',object
'사립고등학교','NNG+NNG+NNG',127,102,120,'이','VCP',object
'리사(LiSA,リサ,1987년6월24일~)','NNG+SS+SL+SP+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',76,0,42,'는','JX',subject
'일본의여성가수','NNP+JKG+NNG+NNG',76,47,69,'이','VCP',subject
'신케인즈학파(neo-Keynesianeconomics)','NNP+SS+SL+SS+SL+SL+SS',137,0,42,'는','JX',subject
'케인즈경제학','NNG+NNG+XSN',137,47,65,'의','JKG',object
'정태분석','NNG+NNG',137,70,81,'을','JKO',object
'동태분석','NNG+NNG',137,86,97,'으로','JKB',object
'경제이론','NNG+NNG',137,118,130,'이','VCP',object
'니콜라뒤퐁애냥()','NNP+NNP+SS+SS',56,0,23,'은','JX',subject
'프랑스의정치인','NNP+JKG+NNG',56,28,49,'이','VCP',subject
'김영민(1971년11월5일~)','NNP+SS+SN+NNB+SN+NNB+SN+NNB+SO+SS',64,0,31,'은','JX',subject
'대한민국의배우','NNP+JKG+NNG',64,36,57,'이','VCP',subject
'리처드버턴','NNP+NNP',87,0,15,'은','JX',subject
'영국영화계','NNP+NNG+XSN',87,20,35,'를','JKO',object
'배우중한명','NNG+NNB+MM+NNB',87,53,70,'으로','JKB',object
'캐스린프레스콧(KathrynPrescott,1991년6월4일~)','NNG+NNG+NNG+SS+SL+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',94,0,61,'은','JX',subject
'잉글랜드의배우','NNG+JKG+NNG',94,66,87,'이','VCP',subject
'윌리엄피크너(WilliamFichtner,1956년11월27일~)','NNP+NNG+SS+SL+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',87,0,60,'는','JX',subject
'미국의배우','NNP+JKG+NNG',87,65,80,'이','VCP',subject
'크리스토퍼마스터슨(ChristopherMasterson,1980년2월22일~)','NNP+NNG+SS+SL+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',100,0,73,'은','JX',subject
'미국의배우','NNP+JKG+NNG',100,78,93,'이','VCP',subject
'쾨니히의군대','NNP+JKG+NNG',51,0,18,'는','JX',subject
'포르장티','NNG',51,23,34,'에','JKB',object
'마다가스카르비단제비나방(학명:\"Chrysiridiarhipheus\")','NNP+SS+NNG+SP+SW+SS+SL+SL+SW+SS+SS',136,0,69,'는','JX',subject
'제비나방과','NNG+NNG',136,74,88,'에','JKB',object
'주행성나방의한종','NNG+XSN+NNG+JKG+MM+NNG',136,103,129,'이','VCP',object
'피스토이아현()','NNG+NNG+SS+SS',67,0,20,'은','JX',subject
'이탈리아토스카','NNP+NNG',67,25,46,'나','JC',object
'주의현','NNG+NNG',67,51,60,'이','VCP',object
'황수령(黃水嶺)옛이름','NNG+SS+SH+SS+MM+NNG',87,0,30,'은','JX',subject
'아득령(牙得嶺)','NNG+SS+SH+SS',87,35,54,'은','JX',subject
'랑림산맥의고개','NNP+NNG+JKG+NNG',87,59,80,'이','VCP',subject
'스쿠트()','NNP+SS+SS',117,0,10,'는','JX',subject
'2011년','SN+NNB',117,15,21,'에','JKB',object
'싱가포르의저비용항공사','NNP+JKG+NNG+NNG+NNG+XSN',117,36,70,'로','JKB',object
'싱가포르항공','NNP+NNG',117,75,93,'이','JKS',object
'다비트파브리치우스(,1564~1617)','NNP+NNP+SS+SP+SN+SO+SN+SS',75,0,42,'는','JX',subject
'독일의천문학자','NNP+JKG+NNG+XSN',75,47,68,'이','VCP',subject
'《YoonSangBest》','SS+SL+SL+SL+SS',56,0,19,'는','JX',subject
'윤상의베스트음반','NNP+JKG+NNG+NNG',56,24,49,'이','VCP',subject
'노먼교수의초기저서들','NNP+NNG+JKG+NNG+NNG+XSN',130,0,31,'은','JX',subject
'대부분사용성(Usability)','XPN+NNG+NNG+XSN+SS+SL+SS',130,36,65,'나','JC',object
'인지심리학(CognitivePsychology)','NNG+NNG+XSN+SS+SL+SL+SS',130,70,106,'에','JKB',object
'것','NNB',130,118,120,'이','VCP',object
'콜롬비아혁명군','NNP+NNG+NNG',115,0,21,'은','JX',subject
'콜롬비아공산당','NNP+NNG+NNG',115,26,47,'에서','JKB',object
'단체','NNG',115,65,70,'로','JKB',object
'정치기구','NNG+NNG',115,86,98,'로','JKB',object
'남선호(1965년11월22일~현재)','NNG+SS+SN+NNB+SN+NNB+SN+NNB+SO+NNG+SS',78,0,38,'는','JX',subject
'대한민국의영화감독','NNP+JKG+NNG+NNG',78,43,71,'이','VCP',subject
'고석진','NNP',65,0,8,'은','JX',subject
'1990년','SN+NNB',65,13,19,'에','JKB',object
'건국훈장애국장','NNG+NNG+NNG+XSN',65,24,45,'이','JKS',object
'SS-22','SL+SS+SN',85,0,4,'.','SF',object
'SS-22','SL+SS+SN',85,6,10,'는','JX',subject
'소련의사거리900km이ㄴ고체연료전역탄도미사일','NNP+JKG+NNG+NNG+SN+SL+VCP+ETM+NNG+NNG+NNG+NNG+NNG',85,15,78,'이','VCP',subject
'블리스(Bliss)','NNP+SS+SL+SS',78,0,15,'는','JX',subject
'덴마크','NNP',78,20,28,'를','JKO',object
'중심','NNG',78,33,38,'으로','JKB',object
'음악그룹','NNG+NNG',78,59,71,'이','VCP',object
'비블리스속(\"Byblis\")','NNG+NNG+SS+SW+SS+SL+SW+SS+SS',83,0,26,'은','JX',subject
'꿀풀목','NNG',83,31,39,'에','JKB',object
'작은식충식물속','VA+ETM+NNG+NNG+NNG',83,54,76,'이','VCP',object
'이헌법','MM+NNG',59,0,9,'에','JKB',object
'총재정부','NNG+NNG',59,27,39,'가','JKS',subject
'왈라비()','NNP+SS+SS',60,0,10,'는','JX',subject
'캥거루과','NNG+JKB',60,15,26,'의','JKG',object
'30여개종의하나','SN+XSN+NNB+NNG+JKG+NR',60,31,53,'이','VCP',object
'함양학사루느티나무','NNG+NNG+NNG+NNG',84,0,28,'는','JX',subject
'경상남도함양군','NNP+NNP+NNG',84,33,54,'에','JKB',object
'느티나무','NNG+NNG',84,66,77,'이','VCP',object
'매기그레이스(MaggieGrace,1983년9월21일~)','NNG+NNP+SS+SL+SL+SP+SN+NNB+SN+NNB+SN+NNB+SO+SS',82,0,55,'는','JX',subject
'미국의배우','NNP+JKG+NNG',82,60,75,'이','VCP',subject
'앨런그린스펀','NNP+NNP',97,0,18,'은','JX',subject
'2002년영국명예KBE훈장(외국인대상명예훈장)','SN+NNB+NNP+NNG+SL+NNG+SS+NNG+XSN+NNG+NNG+NNG+SS',97,23,83,'을','JKO',object
'장신대학교(長神大學校)','NNG+NNG+SS+SH+SS',100,0,31,'는','JX',subject
'대한예수교장로회(통합)','NNG+NNP+NNG+NNG+XSN+SS+NNG+SS',100,36,67,'의','JKG',object
'신학대학교','NNG+XPN+NNG',100,72,86,'를','JKO',object
'붉은발얼가니새(Red-footedBooby,학명:\"Sulasula\")','VA+ETM+NNG+SS+SL+SS+SL+SL+SP+NNG+SP+SW+SS+SL+SL+SW+SS+SS',139,0,61,'는','JX',subject
