@RELATION relation

@ATTRIBUTE lemma	string
@ATTRIBUTE pos 	string
%조사 + 접미사 = postposition
@ATTRIBUTE postposition 	{yes,no}
@ATTRIBUTE class 	{relation,other}

@DATA
'받','VV',no,relation
'았','EP',no,other
'다','EF',no,other
'.','SF',no,other
'오산','NNP',no,other
'시','NNG',no,other
'(','SS',no,other
'烏山市','SH',no,other
')','SS',no,other
'는','JX',yes,other
'대한민국','NNP',no,other
'경기도','NNP',no,other
'남부','NNG',no,other
'에','JKB',yes,other
'있','VV',no,relation
'는','ETM',no,other
'시','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'건국','NNG',no,other
'동맹','NNG',no,other
'은','JX',yes,other
'일제','NNG',no,other
'말기','NNB',no,other
'국내','NNG',no,other
'에서','JKB',yes,other
'거의','MAG',no,other
'유일','NNG',no,other
'하','XSA',yes,other
'ㄴ','ETM',no,other
'독립','NNG',no,other
'운동','NNG',no,other
'단체','NNG',no,other
'이','VCP',no,relation
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'다음하','NNG+XSV',yes,relation
'아','EC',no,other
'1613','SN',no,other
'년','NNB',no,other
'미하일','NNP',no,other
'로마노프','NNP',no,other
'가','JKS',yes,other
'차르','NNG',no,other
'에','JKB',yes,other
'선출','NNG',no,other
'어','EC',no,other
'로마노프','NNP',no,other
'왕조','NNG',no,other
'가','JKS',yes,other
'시작','NNG',no,other
'시작되','NNG+XSV',yes,relation
'다','EF',no,other
'.','SF',no,other
'코노트','NNP',no,other
'(','SS',no,other
'Connacht','SL',no,other
')','SS',no,other
'는','JX',yes,other
'아일랜드','NNP',no,other
'의','JKG',yes,other
'지방','NNG',no,other
'중','NNB',no,other
'하나','NR',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'1939','SN',no,other
'년','NNB',no,other
'9','SN',no,other
'월','NNB',no,other
'1','SN',no,other
'일','NNB',no,other
',','SP',no,other
'독일','NNP',no,other
'이','JKS',yes,other
'폴란드','NNP',no,other
'를','JKO',yes,other
'침공하','NNG+XSV',yes,relation
'면서','EC',no,other
'제','XPN',no,other
'2','SN',no,other
'차','NNB',no,other
'세계','NNG',no,other
'대전','NNP',no,other
'이','JKS',yes,other
'시작','NNG',no,other
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'바다','NNG',no,other
'는','JX',yes,other
'지구','NNG',no,other
'표면','NNG',no,other
'의','JKG',yes,other
'70','SN',no,other
'.','SP',no,other
'8','SN',no,other
'%','SW',no,other
'를','JKO',yes,other
'차지하','NNG+XSV',yes,relation
'고','EC',no,other
'있','VX',no,other
'다','EF',no,other
'.','SF',no,other
'그','NP',no,other
'는','JX',yes,other
'2007','SN',no,other
'년','NNB',no,other
'5','SN',no,other
'월','NNB',no,other
'19','SN',no,other
'일','NNB',no,other
'에','JKB',yes,other
'VfB','SL',no,other
'슈투트가르트','NNG',no,other
'소속','NNG',no,other
'으로','JKB',yes,other
'푸스발','NNP',no,other
'-','SS',no,other
'분데스리가','NNG',no,other
'를','JKO',yes,other
'재패하','NNG+XSV',yes,relation
'았','EP',no,other
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'2006','SN',no,other
'년','NNB',no,other
'상반기','NNG',no,other
'드래프트','NNG',no,other
'에서','JKB',yes,other
'한빛','NNP',no,other
'스타즈','NNG',no,other
'(','SS',no,other
'현','MM',no,other
'웅진','NNP',no,other
'스타즈','NNG',no,other
')','SS',no,other
'의','JKG',yes,other
'2','SN',no,other
'차','NNB',no,other
'지명','NNG',no,other
'으로','JKB',yes,other
'입단하','NNG+XSV',yes,relation
'였','EP',no,other
'다','EF',no,other
'.','SF',no,other
'JFL','SL',no,other
'에','JKB',yes,other
'참가하','NNG+XSV',yes,relation
'는','ETM',no,other
'팀','NNG',no,other
'은','JX',yes,other
'크','VA',no,other
'게','EC',no,other
'2','SN',no,other
'개','NNB',no,other
'로','JKB',yes,other
'나누','VV',no,relation
'ㄹ','ETM',no,other
'수','NNB',no,other
'있','VV',no,relation
'다','EF',no,other
'.','SF',no,other
'새롭','VA',no,other
'ㄴ','ETM',no,other
'미술','NNG',no,other
'의','JKG',yes,other
'중심','NNG',no,other
'은','JX',yes,other
'본토','NNG',no,other
'를','JKO',yes,other
'떠나','VV',no,relation
'아','EC',no,other
'알렉산드리아','NNP',no,other
'·','SW',no,other
'안티오키아','NNP',no,other
'·','SW',no,other
'소','XPN',no,other
'아시아','NNP',no,other
'의','JKG',yes,other
'페르가몬','NNG',no,other
'등','NNB',no,other
'으로','JKB',yes,other
'옮기','VV',no,relation
'어','EC',no,other
'지','VX',no,other
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'대한민국','NNP',no,other
'형법','NNG',no,other
'제','XPN',no,other
'122','SN',no,other
'조','NR',no,other
'는','JX',yes,other
'직무','NNG',no,other
'유기','NNG',no,other
'에','JKB',yes,other
'대하','VV',no,relation
'ㄴ','ETM',no,other
'형법','NNG',no,other
'각칙','NNG',no,other
'의','JKG',yes,other
'조문','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'타치바나','NNP',no,other
'케이타','NNP',no,other
'(','SS',no,other
',','SP',no,other
'1985','SN',no,other
'년','NNB',no,other
'12','SN',no,other
'월','NNB',no,other
'16','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'는','JX',yes,other
'일본','NNP',no,other
'의','JKG',yes,other
'가수','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'《','SS',no,other
'Taking','SL',no,other
'Back','SL',no,other
'Sunday','SL',no,other
'EP','SL',no,other
'》','SS',no,other
'는','JX',yes,other
'2001','SN',no,other
'년','NNB',no,other
'2','SN',no,other
'월','NNB',no,other
'에','JKB',yes,other
'발표되','NNG+XSV',yes,relation
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'에사','NNG',no,other
'-','SS',no,other
'페카','NNP',no,other
'살로넨','NNP',no,other
'(','SS',no,other
',','SP',no,other
'1958','SN',no,other
'년','NNB',no,other
'6','SN',no,other
'월','NNB',no,other
'30','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'은','JX',yes,other
'핀란드','NNP',no,other
'출신','NNG',no,other
'의','JKG',yes,other
'지휘','NNG',no,other
'자','XSN',yes,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'Definitely','SL',no,other
'Maybe','SL',no,other
'는','JX',yes,other
'1994','SN',no,other
'년','NNB',no,other
'발표되','NNG+XSV',yes,relation
'ㄴ','ETM',no,other
'영국','NNP',no,other
'밴드','NNG',no,other
'오아시스','NNG',no,other
'의','JKG',yes,other
'데뷔','NNG',no,other
'음반','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'털곰팡','NNG',no,other
'이목','NNG',no,other
'(','SS',no,other
'Mucorales','SL',no,other
')','SS',no,other
'은','JX',yes,other
'가장','MAG',no,other
'크','VA',no,other
'고','EC',no,other
',','SP',no,other
'많이','MAG',no,other
'연구되','NNG+XSV',yes,relation
'는','ETM',no,other
'접합','NNG',no,other
'균류','NNG',no,other
'목','NNG',no,other
'의','JKG',yes,other
'하나','NR',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'곽경택','NNG',no,other
'(','SS',no,other
'1966','SN',no,other
'년','NNB',no,other
'5','SN',no,other
'월','NNB',no,other
'23','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'은','JX',yes,other
'대한민국','NNP',no,other
'의','JKG',yes,other
'영화','NNG',no,other
'감독','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'1866','SN',no,other
'년','NNB',no,other
'미국','NNP',no,other
'상원','NNG',no,other
'의원','NNG',no,other
'선거','NNG',no,other
'는','JX',yes,other
'1866','SN',no,other
'년','NNB',no,other
'각','MM',no,other
'주','NNG',no,other
'에서','JKB',yes,other
'2','SN',no,other
'명','NNB',no,other
'씩','XSN',yes,other
'상원','NNG',no,other
'의원','NNG',no,other
'을','JKO',yes,other
'선출하','NNG+XSV',yes,relation
'았','EP',no,other
'다','EF',no,other
'.','SF',no,other
'방예담','NNG',no,other
'(','SS',no,other
'2002','SN',no,other
'년','NNB',no,other
'5','SN',no,other
'월','NNB',no,other
'7','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'은','JX',yes,other
'대한민국','NNP',no,other
'의','JKG',yes,other
'가수','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'이효리','NNP',no,other
'는','JX',yes,other
'2013','SN',no,other
'년','NNB',no,other
'5','SN',no,other
'월','NNB',no,other
'22','SN',no,other
'일','NNB',no,other
'Mnet','SL',no,other
'에서','JKB',yes,other
'방영되','NNG+XSV',yes,relation
'ㄴ','ETM',no,other
'《','SS',no,other
'2','SN',no,other
'HYORI','SL',no,other
'SHOW','SL',no,other
'》','SS',no,other
'를','JKO',yes,other
'통하','VV',no,relation
'아','EC',no,other
'컴백','NNG',no,other
'았','EP',no,other
'다','EF',no,other
'.','SF',no,other
'한편','NNG',no,other
'드림위즈','NNP',no,other
'와','JC',yes,other
'엠파스','NNP',no,other
'도','JX',yes,other
'1999','SN',no,other
'년','NNB',no,other
'에','JKB',yes,other
'오픈하','NNG+XSV',yes,relation
'였','EP',no,other
'다','EF',no,other
'.','SF',no,other
'포인터','NNG',no,other
'시스터스','NNG',no,other
'(','SS',no,other
'The','SL',no,other
'Pointer','SL',no,other
'Sisters','SL',no,other
')','SS',no,other
'는','JX',yes,other
'미국','NNP',no,other
'의','JKG',yes,other
'R','SL',no,other
'&','SW',no,other
'B','SL',no,other
'밴드','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'스와미','NNP',no,other
'묵타나','VV',no,other
'ㄴ다','EF',no,other
'(','SS',no,other
'Swami','SL',no,other
'Muktananda','SL',no,other
',','SP',no,other
'1908','SN',no,other
'-','SS',no,other
'1982','SN',no,other
')','SS',no,other
'는','JX',yes,other
'바가완','NNP',no,other
'니티야난다','NNP',no,other
'의','JKG',yes,other
'계율','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'베네벤토','NNP',no,other
'(','SS',no,other
')','SS',no,other
'는','JX',yes,other
'이탈리아','NNP',no,other
'캄파니아','NNG',no,other
'주','NNG',no,other
'베네벤토','NNP',no,other
'현','NNG',no,other
'의','JKG',yes,other
'코무네','NNG',no,other
'다','EF',no,other
'.','SF',no,other
'두타','NNP',no,other
'산','NNG',no,other
'(','SS',no,other
'頭陀山','SH',no,other
')','SS',no,other
'은','JX',yes,other
'강원도','NNP',no,other
'동해','NNP',no,other
'시','NNG',no,other
'삼화','NNP',no,other
'동','NNG',no,other
'과','JC',yes,other
'삼척','NNP',no,other
'시','NNG',no,other
'하장면','NNG',no,other
',','SP',no,other
'미로면','NNG',no,other
'에','JKB',yes,other
'걸치','VV',no,relation
'어','EC',no,other
'있','VX',no,other
'는','ETM',no,other
'산','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'장수연','NNP',no,other
'(','SS',no,other
'1982','SN',no,other
'년','NNB',no,other
'7','SN',no,other
'월','NNB',no,other
'8','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'은','JX',yes,other
'대한민국','NNP',no,other
'의','JKG',yes,other
'KBS','SL',no,other
'아나운서','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'천','NNG',no,other
'(','SS',no,other
'天','SH',no,other
')','SS',no,other
'은','JX',yes,other
'산스크리트','NNG',no,other
'어','XSN',yes,other
'데바','NNP',no,other
'(','SS',no,other
'deva','SL',no,other
')','SS',no,other
'의','JKG',yes,other
'번역','NNG',no,other
'어','XSN',yes,other
'이','VCP',no,relation
'기','ETN',no,other
'도','JX',yes,other
'하','VX',no,other
'지만','EC',no,other
'또한','MAG',no,other
'데바로카','NNP',no,other
'(','SS',no,other
'deva','SL',no,other
'-','SS',no,other
'loka','SL',no,other
')','SS',no,other
'의','JKG',yes,other
'번역','NNG',no,other
'어','XSN',yes,other
'이','VCP',no,relation
'기','ETN',no,other
'도','JX',yes,other
'하','VX',no,other
'다','EF',no,other
'.','SF',no,other
'UTAU','SL',no,other
'.','SF',no,other
'UTAU','SL',no,other
'(','SS',no,other
'우타우','NNP',no,other
',','SP',no,other
')','SS',no,other
'는','JX',yes,other
'일본','NNP',no,other
'의','JKG',yes,other
'음성','NNG',no,other
'합성','NNG',no,other
'프로그램','NNG',no,other
'으로','JKB',yes,other
'아메야','NNG',no,other
'/','SP',no,other
'아야메','NNP',no,other
'가','JKS',yes,other
'제작하','NNG+XSV',yes,relation
'았','EP',no,other
'다','EF',no,other
'.','SF',no,other
'낙생','NNG',no,other
'고등학교','NNG',no,other
'(','SS',no,other
'樂生高等學校','SH',no,other
')','SS',no,other
'는','JX',yes,other
'경기도','NNP',no,other
'성남','NNP',no,other
'시','NNG',no,other
'분당','NNP',no,other
'구','NNG',no,other
'대왕','NNG',no,other
'판교','NNG',no,other
'로','JKB',yes,other
'477','SN',no,other
'에','JKB',yes,other
'있','VV',no,relation
'는','ETM',no,other
'사립','NNG',no,other
'고등','NNG',no,other
'학교','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'리사','NNG',no,other
'(','SS',no,other
'LiSA','SL',no,other
',','SP',no,other
'リサ','SL',no,other
',','SP',no,other
'1987','SN',no,other
'년','NNB',no,other
'6','SN',no,other
'월','NNB',no,other
'24','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'는','JX',yes,other
'일본','NNP',no,other
'의','JKG',yes,other
'여성','NNG',no,other
'가수','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'신케인즈학파','NNP',no,other
'(','SS',no,other
'neo','SL',no,other
'-','SS',no,other
'Keynesian','SL',no,other
'economics','SL',no,other
')','SS',no,other
'는','JX',yes,other
'케인즈','NNG',no,other
'경제','NNG',no,other
'학','XSN',yes,other
'의','JKG',yes,other
'정태','NNG',no,other
'분석','NNG',no,other
'을','JKO',yes,other
'동태','NNG',no,other
'분석','NNG',no,other
'으로','JKB',yes,other
'발전시키','NNG+XSV',yes,relation
'ㄴ','ETM',no,other
'경제','NNG',no,other
'이론','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'니콜라','NNP',no,other
'뒤퐁애냥','NNP',no,other
'(','SS',no,other
')','SS',no,other
'은','JX',yes,other
'프랑스','NNP',no,other
'의','JKG',yes,other
'정치인','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'김영민','NNP',no,other
'(','SS',no,other
'1971','SN',no,other
'년','NNB',no,other
'11','SN',no,other
'월','NNB',no,other
'5','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'은','JX',yes,other
'대한민국','NNP',no,other
'의','JKG',yes,other
'배우','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'캐스린','NNG',no,other
'프레스','NNG',no,other
'콧','NNG',no,other
'(','SS',no,other
'Kathryn','SL',no,other
'Prescott','SL',no,other
',','SP',no,other
'1991','SN',no,other
'년','NNB',no,other
'6','SN',no,other
'월','NNB',no,other
'4','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'은','JX',yes,other
'잉글랜드','NNG',no,other
'의','JKG',yes,other
'배우','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'윌리엄','NNP',no,other
'피크너','NNG',no,other
'(','SS',no,other
'William','SL',no,other
'Fichtner','SL',no,other
',','SP',no,other
'1956','SN',no,other
'년','NNB',no,other
'11','SN',no,other
'월','NNB',no,other
'27','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'는','JX',yes,other
'미국','NNP',no,other
'의','JKG',yes,other
'배우','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'크리스토퍼','NNP',no,other
'마스터슨','NNG',no,other
'(','SS',no,other
'Christopher','SL',no,other
'Masterson','SL',no,other
',','SP',no,other
'1980','SN',no,other
'년','NNB',no,other
'2','SN',no,other
'월','NNB',no,other
'22','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'은','JX',yes,other
'미국','NNP',no,other
'의','JKG',yes,other
'배우','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'쾨니히','NNP',no,other
'의','JKG',yes,other
'군대','NNG',no,other
'는','JX',yes,other
'포르장티','NNG',no,other
'에','JKB',yes,other
'도착하','NNG+XSV',yes,relation
'았','EP',no,other
'다','EF',no,other
'.','SF',no,other
'마다가스카르비단제비나방','NNP',no,other
'(','SS',no,other
'학명','NNG',no,other
':','SP',no,other
'"','SS',no,other
'Chrysiridia','SL',no,other
'rhipheus','SL',no,other
'"','SS',no,other
')','SS',no,other
'는','JX',yes,other
'제비','NNG',no,other
'나방과','NNG',no,other
'에','JKB',yes,other
'속하','VV',no,relation
'는','ETM',no,other
'주행','NNG',no,other
'성','XSN',yes,other
'나방','NNG',no,other
'의','JKG',yes,other
'한','MM',no,other
'종','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'피스토이아','NNG',no,other
'현','NNG',no,other
'(','SS',no,other
')','SS',no,other
'은','JX',yes,other
'이탈리아','NNP',no,other
'토스카','NNG',no,other
'나','JC',yes,other
'주의','NNG',no,other
'현','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'황수령','NNG',no,other
'(','SS',no,other
'黃水嶺','SH',no,other
')','SS',no,other
'옛','MM',no,other
'이름','NNG',no,other
'은','JX',yes,other
'아득령','NNG',no,other
'(','SS',no,other
'牙得嶺','SH',no,other
')','SS',no,other
'은','JX',yes,other
'랑림','NNP',no,other
'산맥','NNG',no,other
'의','JKG',yes,other
'고개','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'스쿠트','NNP',no,other
'(','SS',no,other
')','SS',no,other
'는','JX',yes,other
'2011','SN',no,other
'년','NNB',no,other
'에','JKB',yes,other
'설립되','NNG+XSV',yes,relation
'ㄴ','ETM',no,other
'싱가포르','NNP',no,other
'의','JKG',yes,other
'저','NNG',no,other
'비용','NNG',no,other
'항공','NNG',no,other
'사','XSN',yes,other
'로','JKB',yes,other
'싱가포르','NNP',no,other
'항공','NNG',no,other
'이','JKS',yes,other
'소유','NNG',no,other
'고','EC',no,other
'있','VX',no,other
'다','EF',no,other
'.','SF',no,other
'다비트','NNP',no,other
'파브리치우스','NNP',no,other
'(','SS',no,other
',','SP',no,other
'1564','SN',no,other
'~','SO',no,other
'1617','SN',no,other
')','SS',no,other
'는','JX',yes,other
'독일','NNP',no,other
'의','JKG',yes,other
'천문학','NNG',no,other
'자','XSN',yes,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'《','SS',no,other
'Yoon','SL',no,other
'Sang','SL',no,other
'Best','SL',no,other
'》','SS',no,other
'는','JX',yes,other
'윤상','NNP',no,other
'의','JKG',yes,other
'베스트','NNG',no,other
'음반','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'콜롬비아','NNP',no,other
'혁명','NNG',no,other
'군','NNG',no,other
'은','JX',yes,other
'콜롬비아','NNP',no,other
'공산','NNG',no,other
'당','NNG',no,other
'에서','JKB',yes,other
'분리되','NNG+XSV',yes,relation
'ㄴ','ETM',no,other
'단체','NNG',no,other
'로','JKB',yes,other
',','SP',no,other
'독립','NNG',no,other
'ㄴ','ETM',no,other
'정치','NNG',no,other
'기구','NNG',no,other
'로','JKB',yes,other
'여기','VV',no,relation
'어','EC',no,other
'지','VX',no,other
'ㄴ다','EF',no,other
'.','SF',no,other
'남선호','NNG',no,other
'(','SS',no,other
'1965','SN',no,other
'년','NNB',no,other
'11','SN',no,other
'월','NNB',no,other
'22','SN',no,other
'일','NNB',no,other
'~','SO',no,other
'현재','NNG',no,other
')','SS',no,other
'는','JX',yes,other
'대한민국','NNP',no,other
'의','JKG',yes,other
'영화','NNG',no,other
'감독','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'1990','SN',no,other
'년','NNB',no,other
'에','JKB',yes,other
'건국','NNG',no,other
'훈장','NNG',no,other
'애국','NNG',no,other
'장','XSN',yes,other
'이','JKS',yes,other
'추서되','NNG+XSV',yes,relation
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'SS','SL',no,other
'-','SS',no,other
'22','SN',no,other
'.','SF',no,other
'SS','SL',no,other
'-','SS',no,other
'22','SN',no,other
'는','JX',yes,other
'소련','NNP',no,other
'의','JKG',yes,other
'사','NNG',no,other
'거리','NNG',no,other
'900','SN',no,other
'km','SL',no,other
'이','VCP',no,other
'ㄴ','ETM',no,other
'고체','NNG',no,other
'연료','NNG',no,other
'전역','NNG',no,other
'탄도','NNG',no,other
'미사일','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'블리스','NNP',no,other
'(','SS',no,other
'Bliss','SL',no,other
')','SS',no,other
'는','JX',yes,other
'덴마크','NNP',no,other
'를','JKO',yes,other
'중심','NNG',no,other
'으로','JKB',yes,other
'활동하','NNG+XSV',yes,relation
'는','ETM',no,other
'음악','NNG',no,other
'그룹','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'비블리','NNG',no,other
'스속','NNG',no,other
'(','SS',no,other
'"','SS',no,other
'Byblis','SL',no,other
'"','SS',no,other
')','SS',no,other
'은','JX',yes,other
'꿀풀목','NNG',no,other
'에','JKB',yes,other
'속하','VV',no,relation
'는','ETM',no,other
'작','VA',no,other
'은','ETM',no,other
'식충','NNG',no,other
'식물','NNG',no,other
'속','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'이','MM',no,other
'헌법','NNG',no,other
'에','JKB',yes,other
'근거하','NNG+XSV',yes,relation
'여','EC',no,other
'총재','NNG',no,other
'정부','NNG',no,other
'가','JKS',yes,other
'성립','NNG',no,other
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'왈라비','NNP',no,other
'(','SS',no,other
')','SS',no,other
'는','JX',yes,other
'캥거루','NNG',no,other
'과','JKB',yes,other
'의','JKG',yes,other
'30','SN',no,other
'여','XSN',yes,other
'개','NNB',no,other
'종','NNG',no,other
'의','JKG',yes,other
'하나','NR',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'함양','NNG',no,other
'학사루','NNG',no,other
'느티','NNG',no,other
'나무','NNG',no,other
'는','JX',yes,other
'경상남도','NNP',no,other
'함양','NNP',no,other
'군','NNG',no,other
'에','JKB',yes,other
'있','VV',no,relation
'는','ETM',no,other
'느티','NNG',no,other
'나무','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'매기','NNG',no,other
'그레이스','NNP',no,other
'(','SS',no,other
'Maggie','SL',no,other
'Grace','SL',no,other
',','SP',no,other
'1983','SN',no,other
'년','NNB',no,other
'9','SN',no,other
'월','NNB',no,other
'21','SN',no,other
'일','NNB',no,other
'~','SO',no,other
')','SS',no,other
'는','JX',yes,other
'미국','NNP',no,other
'의','JKG',yes,other
'배우','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'장신','NNG',no,other
'대학교','NNG',no,other
'(','SS',no,other
'長神大學校','SH',no,other
')','SS',no,other
'는','JX',yes,other
'대한','NNG',no,other
'예수','NNP',no,other
'교','NNG',no,other
'장로','NNG',no,other
'회','XSN',yes,other
'(','SS',no,other
'통합','NNG',no,other
')','SS',no,other
'의','JKG',yes,other
'신학','NNG',no,other
'대','XPN',no,other
'학교','NNG',no,other
'를','JKO',yes,other
'이르','VV',no,relation
'ㄴ다','EF',no,other
'.','SF',no,other
'붉','VA',no,other
'은','ETM',no,other
'발얼가니새','NNG',no,other
'(','SS',no,other
'Red','SL',no,other
'-','SS',no,other
'footed','SL',no,other
'Booby','SL',no,other
',','SP',no,other
'학명','NNG',no,other
':','SP',no,other
'"','SS',no,other
'Sula','SL',no,other
'sula','SL',no,other
'"','SS',no,other
')','SS',no,other
'는','JX',yes,other
